"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"2122",338.52051142049,-305.582495056047,982.623517897027,-646.550030389127,1323.59105323011
"2123",337.257406287117,-307.565669271764,982.080481845997,-648.914386151594,1323.42919872583
"2124",336.728896155259,-308.328897872892,981.78669018341,-649.80186720483,1323.25965951535
"2125",336.743269944457,-308.315049925991,981.801589814906,-649.788297622027,1323.27483751094
"2126",336.760094147836,-308.299728033654,981.819916329326,-649.773771005116,1323.29395930079
"2127",336.760426744572,-308.300149192429,981.821002681573,-649.774591177955,1323.2954446671
"2128",336.759927443056,-308.301275037777,981.821129923889,-649.776048695573,1323.29590358169
"2129",336.759894353034,-308.30194650292,981.821735208988,-649.777058096093,1323.29684680216
"2130",336.759908105339,-308.302575425215,981.822391635894,-649.778027229771,1323.29784344045
"2131",336.759909748617,-308.303216288848,981.823035786082,-649.779008216017,1323.29882771325
"2132",336.759909403428,-308.303859000928,981.823677807784,-649.779990976588,1323.29980978344
"2133",336.759909337325,-308.304501431994,981.824320106644,-649.780973455124,1323.30079212977
"2134",336.759909344848,-308.305143792997,981.824962482693,-649.781955865484,1323.30177455518
"2135",336.759909347215,-308.305786158749,981.82560485318,-649.782938280378,1323.30275697481
"2136",336.759909347094,-308.306428526232,981.826247220419,-649.783920696601,1323.30373939079
"2137",336.759909347016,-308.307070893019,981.826889587051,-649.784903111783,1323.30472180582
"2138",336.759909347016,-308.307713259091,981.827531953124,-649.785885525914,1323.30570421995
"2139",336.759909347018,-308.308355624523,981.828174318559,-649.786867939065,1323.3066866331
"2140",336.759909347019,-308.308997989316,981.828816683353,-649.78785035124,1323.30766904528
"2141",336.759909347018,-308.30964035347,981.829459047507,-649.788832762436,1323.30865145647
"2142",336.759909347018,-308.310282716985,981.830101411022,-649.789815172654,1323.30963386669
"2143",336.759909347018,-308.310925079859,981.830743773896,-649.790797581894,1323.31061627593
"2144",336.759909347018,-308.311567442094,981.831386136131,-649.791779990156,1323.31159868419
"2145",336.759909347018,-308.31220980369,981.832028497727,-649.792762397439,1323.31258109148
"2146",336.759909347018,-308.312852164645,981.832670858682,-649.793744803744,1323.31356349778
"2147",336.759909347018,-308.313494524961,981.833313218998,-649.794727209071,1323.31454590311
"2148",336.759909347018,-308.314136884638,981.833955578675,-649.79570961342,1323.31552830746
"2149",336.759909347018,-308.314779243675,981.834597937712,-649.79669201679,1323.31651071083
"2150",336.759909347018,-308.315421602072,981.835240296109,-649.797674419182,1323.31749311322
"2151",336.759909347018,-308.316063959829,981.835882653866,-649.798656820596,1323.31847551463
"2152",336.759909347018,-308.316706316947,981.836525010984,-649.799639221031,1323.31945791507
"2153",336.759909347018,-308.317348673425,981.837167367462,-649.800621620488,1323.32044031453
"2154",336.759909347018,-308.317991029264,981.837809723301,-649.801604018967,1323.321422713
"2155",336.759909347018,-308.318633384462,981.838452078499,-649.802586416468,1323.3224051105
"2156",336.759909347018,-308.319275739022,981.839094433059,-649.80356881299,1323.32338750703
